date,city,tavg,tmin,tmax,prcp
2025-07-10,Antananarivo,13.98,13.98,13.98,0.0
2025-07-10,Paris,25.97,24.65,26.32,0.0
2025-07-10,Tokyo,22.91,22.03,23.13,0.0
2025-07-10,New Delhi,27.09,27.09,27.09,0.0
2025-07-10,Washington,25.92,24.65,26.43,0.0
2025-07-10,London,25.01,23.86,27.23,0.0
2025-07-10,Helsinki,15.05,14.38,15.43,0.0
2025-07-10,Brasilia,23.51,21.7,23.51,0.0
2025-07-10,Rome,27.71,26.81,29.31,0.0
2025-07-10,Madrid,31.34,30.35,32.53,0.0
2025-07-10,Berlin,18.3,16.1,19.41,0.0
2025-07-10,Antarctica,-61.35,-61.35,-61.35,0.0
2025-07-10,Cairo,32.42,32.42,32.42,0.0
2025-07-10,Pretoria,8.06,5.4,8.06,0.0
